date,close
3/27/2017,125.8
3/28/2017,125.66
3/29/2017,124.92
3/30/2017,124.66
3/31/2017,124.55
4/3/2017,124.69
4/4/2017,124.68
4/5/2017,124.8
4/6/2017,125.05
4/7/2017,124.92
4/10/2017,124.34
4/11/2017,124.22
4/12/2017,125.4
4/13/2017,124.99
4/17/2017,125.72
4/18/2017,121.82
4/19/2017,121.37
4/20/2017,121.87
4/21/2017,121.76
4/24/2017,122.89
4/25/2017,123.43
4/26/2017,123.51
4/27/2017,123.74
4/28/2017,123.47
5/1/2017,123.34
5/2/2017,123.7
5/3/2017,123.33
5/4/2017,123.95
5/5/2017,123.51
5/8/2017,123.25
5/9/2017,123.21
5/10/2017,122.81
5/11/2017,123.2
5/12/2017,123.64
5/15/2017,126.99
5/16/2017,127.77
5/17/2017,126.67
5/18/2017,126.97
5/19/2017,127
5/22/2017,127.26
5/23/2017,127.52
5/24/2017,127.51
5/25/2017,127.53
5/26/2017,126.92
5/30/2017,127.11
5/31/2017,128.25
6/1/2017,128.78
6/2/2017,130.08
6/5/2017,130.36
6/6/2017,130.83
6/7/2017,130.75
6/8/2017,130.55
6/9/2017,131.53
6/12/2017,131.82
6/13/2017,132.02
6/14/2017,132.77
6/15/2017,133.04
6/16/2017,134.35
6/19/2017,134.07
6/20/2017,134.22
6/21/2017,134.91
6/22/2017,136.05
6/23/2017,136.43
6/26/2017,136.34
6/27/2017,135.01
6/28/2017,133.82
6/29/2017,132.64
6/30/2017,132.29
7/3/2017,132.9
7/5/2017,133.64
7/6/2017,132.52
7/7/2017,132.54
7/10/2017,131.55
7/11/2017,131.23
7/12/2017,132.23
7/13/2017,131.86
7/14/2017,132.6
7/17/2017,132.15
7/18/2017,134.46
7/19/2017,135.21
7/20/2017,136.57
7/21/2017,135.31
7/24/2017,133.01
7/25/2017,131.88
7/26/2017,130.95
7/27/2017,130.83
7/28/2017,131.85
7/31/2017,132.72
8/1/2017,132.51
8/2/2017,132.16
8/3/2017,133.35
8/4/2017,133.18
8/7/2017,132.86
8/8/2017,132.27
8/9/2017,133.23
8/10/2017,133.09
8/11/2017,133.1
8/14/2017,133.48
8/15/2017,133.38
8/16/2017,134.17
8/17/2017,133.04
8/18/2017,132.63
8/21/2017,133.45
8/22/2017,134.7
8/23/2017,132.8
8/24/2017,132.89
8/25/2017,131.68
8/28/2017,131.74
8/29/2017,132.21
8/30/2017,131.07
8/31/2017,132.37
9/1/2017,131.03
9/5/2017,129.9
9/6/2017,130.67
9/7/2017,132.19
9/8/2017,130.98
9/11/2017,133.21
9/12/2017,132.63
9/13/2017,132.45
9/14/2017,134.18
9/15/2017,134.45
9/18/2017,135.38
9/19/2017,135.22
9/20/2017,133.22
9/21/2017,131.75
9/22/2017,131.39
9/25/2017,131.17
9/26/2017,130.94
9/27/2017,129.75
9/28/2017,129.47
9/29/2017,130.01
10/2/2017,131.22
10/3/2017,132.1
10/4/2017,132.89
10/5/2017,133.19
10/6/2017,133.22
10/9/2017,133.45
10/10/2017,133.9
10/11/2017,136.65
10/12/2017,136.83
10/13/2017,136.43
10/16/2017,136.12
10/17/2017,140.79
10/18/2017,140.68
10/19/2017,142.04
10/20/2017,142.4
10/23/2017,143.62
10/24/2017,141.64
10/25/2017,142.36
10/26/2017,141.81
10/27/2017,141.78
10/30/2017,140
10/31/2017,139.41
11/1/2017,139.98
11/2/2017,139.93
